lang_index,word_index,word
1,65,όμορφη
2,65,beautiful
1,66,λίγο
2,66,a little
1,67,δύσκολο
2,67,difficult
1,68,μαζί
2,68,together
1,69,παίζo
2,69,i play
1,70,πάω
2,70,i go
1,71,πιο νωρίς
2,71,earlier
1,72,κοντά
2,72,close
1,73,πιο κοντά
2,73,closer
1,74,κάθε μέρα
2,74,every day
1,75,πάνω
2,75,on
1,76,πάνω από
2,76,above
1,77,κάτω από
2,77,below
1,78,μέσα
2,78,in
1,79,έξω από το σπίτι
2,79,out of the house
1,80,έξω στον δρόμο
2,80,outside on the street
1,81,μετά
2,81,after
1,82,πιο
2,82,more
1,83,ο τρελός
2,83,crazy
1,84,νωρίς
2,84,early
1,85,το εσωτερικό
2,85,"interior, in the country"
1,86,το εξωτερικό
2,86,"exterior, abroad"
1,87,δίπλα
2,87,next to
1,88,το μέλλον
2,88,the future
1,89,η κούπα
2,89,"mug, cup"
1,90,η μέση
2,90,middle
1,91,ο μισός
2,91,half
1,92,το πρωί
2,92,morning
1,93,το μεσημέρι
2,93,midday
1,94,ο κουρασμένος
2,94,tired
