lang_index,word_index,word
1,48,τριάντα
2,48,thirty
1,49,σαράντα
2,49,forty
1,50,πενήντα
2,50,fifty
1,51,εξήντα
2,51,sixsty
1,52,εβδομήντα
2,52,seventy
1,53,ογδόντα
2,53,eighty
1,54,ενενήντα
2,54,ninety
1,55,εκατό
2,55,hundred
1,56,διακόσια
2,56,two hundred
1,57,τριακόσια
2,57,three hundred
1,58,τετρακόσια
2,58,four hundred
1,59,πεντακόσια
2,59,five hundred
1,60,εξακόσια
2,60,six hundred
1,61,επτακόσια
2,61,seven hundred
1,62,οκτακόσια
2,62,eight hundred
1,63,εννιακόσια
2,63,nine hundred
1,64,χίλια
2,64,thousand
