lang_index,lang,word_index,word
1,greek,1,ένα
2,eng,1,one
1,greek,2,δύο
2,eng,2,two
1,greek,3,τρία
2,eng,3,three
1,greek,4,τέσσερα
2,eng,4,four
1,greek,5,πέντε
2,eng,5,five
1,greek,6,έξι
2,eng,6,six
1,greek,7,επτά
2,eng,7,seven
1,greek,8,οκτώ
2,eng,8,eight
1,greek,9,εννέα
2,eng,9,nine
1,greek,10,δέκα
2,eng,10,ten
1,greek,11,έντεκα
2,eng,11,eleven
1,greek,12,δώδεκα
2,eng,12,twelve
1,greek,13,δεκατρία
2,eng,13,thirteen
1,greek,14,δεκατέσσερα
2,eng,14,fourteen
1,greek,15,δεκαπέντε
2,eng,15,fifteen
1,greek,16,δεκαέξι
2,eng,16,sixteen
1,greek,17,δεκαεπτά
2,eng,17,seventeen
1,greek,18,δεκαοκτώ
2,eng,18,eighteen
1,greek,19,δεκαεννέα
2,eng,19,nineteen
1,greek,20,είκοσι
2,eng,20,twenty
1,greek,21,Κυριακή
2,eng,21,sunday
1,greek,22,Δευτέρα
2,eng,22,monday
1,greek,23,Τρίτη
2,eng,23,tuesday
1,greek,24,Τετάρτη
2,eng,24,wednesday
1,greek,25,Πέμπτη
2,eng,25,thursday
1,greek,26,Παρασκευή
2,eng,26,friday
1,greek,27,Σάββατο
2,eng,27,saturday
1,28,σαββατοκύριακή
2,28,weekend
