lang_index,word_index,word
1,198,ο σκύλος του
2,198,his dog
1,199,η γάτα της
2,199,her cat
1,200,το νερό σου
2,200,your (singular) water
1,201,τα βιβλία τους
2,201,their books
1,202,τα πόδια σας
2,202,your (plural) legs
1,203,αυτός
2,203,he
1,204,αυτή
2,204,she
1,205,θα είμαι
2,205,I will be
1,206,θα είσαι
2,206,you will be (singular)
1,207,αυτός θα είναι
2,207,he will be
1,208,θα είμαστε
2,208,we will be
1,209,θα είστε
2,209,you will be (plural)
1,210,θα είναι
2,210,they will be
1,211,αυτή θα είναι
2,211,she will be
1,212,ήμουν
2,212,I was
1,213,ήσουν
2,213,you were (singular)
1,214,ήταν
2,214,he was
1,215,ήμασταν
2,215,we were
1,216,ήσασταν
2,216,you were (plural)
1,217,ήταν
2,217,they were
1,218,αυτό
2,218,it
1,219,εμείς
2,219,we 
1,220,εσύ
2,220,you (singular)
1,221,εσείς
2,221,you (plural)
1,222,αυτοί
2,222,they (males)
1,223,αυτες
2,223,they (females)
1,224,αυτα
2,224,the (neuter)
1,225,το αυτοκίνητό μου
2,225,my car
1,226,το χρώμα του
2,226,its color
1,227,το σπίτι μας
2,227,our house
1,228,αυτή ήταν
2,228,she was
1,229,είμαι μαζί του
2,229,i am with him
1,230,είμαι μαζί της
2,230,i am with her
1,231,είμαι μαζί σου
2,231,i am with you
1,232,είμαι μαζί τους
2,232,I am with them
1,233,είναι μαζί μας
2,233,she is with us
1,234,πίνω το νερό
2,234,I drink the water
1,235,μπαίνω στο σπίτι
2,235,I enter the house
1,236,μπαίνω στη θάλασσα
2,236,I enter the sea
1,237,μπαίνω στο μασούτη
2,237,I enter masoutis
1,238,βλέπω τον Μιχάλη
2,238,I see Michalis
1,239,βλέπω τη Μιχαέλα
2,239,I see Michaela
1,240,βλέπω τον σκύλο
2,240,I see the dog
1,241,κάνω
2,241,I do
1,242,θα κάνω
2,242,I will do
1,243,έκανα
2,243,I did
1,244,έκανες
2,244,you did (singular)
1,245,έκανε
2,245,he did
1,246,κάναμε
2,246,we did
1,247,κάνατε
2,247,you did (plural)
1,248,έκαναν
2,248,they did
1,249,ρήματα
2,249,verbs
1,250,ζω
2,250,I live
1,251,θα ζήσω
2,251,I will live
1,252,λέω
2,252,I say
1,253,θα λέω
2,253,I will be saying
1,254,βλέπω
2,254,I see 
1,255,θα βλέπω
2,255,I will be watching
1,256,θα δω
2,256,I will see
1,257,είδα
2,257,I saw
1,258,είδες
2,258,you saw (singular)
1,259,είδε
2,259,he saw
1,260,είδαμε
2,260,we saw
1,261,είδατε
2,261,you saw (plural)
1,262,είδαν
2,262,they saw
1,263,πηγαίνω
2,263,I go
1,264,θα πάω
2,264,I will go
1,265,πήγα
2,265,I went
1,266,πήγες
2,266,you (singular) went
1,267,πήγε
2,267,he went
1,268,πήγαμε
2,268,we went
1,269,πήγατε
2,269,you (plural) went
1,270,πήγαν
2,270,they went
1,271,τρώω
2,271,I eat
1,272,θα τρώω
2,272,I will be eating
1,273,θα φάω
2,273,I will eat
1,274,έφαγα
2,274,I ate
1,275,έφαγες
2,275,you (singular) ate
1,276,έφαγε
2,276,he ate
1,277,φάγαμε
2,277,we ate
1,278,φάγατε
2,278,you (plural) ate
1,279,έφαγαν
2,279,they ate
1,280,πίνω
2,280,I drink
1,281,θα πιω
2,281,I will drink
1,282,θα πιεις
2,282,you (singular) will drink
1,283,θα πιει
2,283,he will drink
1,284,θα πιούμε
2,284,we will drink
1,285,θα πιείτε
2,285,you (plural) will drink
1,286,θα πιούνε
2,286,they will drink
1,287,θα παίζω
2,287,I play
1,288,θα παίξω
2,288,I will play
1,289,γράφω
2,289,I write
1,290,θα γράψω
2,290,I will write
1,291,δουλεύω
2,291,I work
1,292,θα δουλέψω
2,292,I will work
1,293,καθαρίζω
2,293,I clean
1,294,θα καθαρίσω
2,294,I will clean
1,295,καθάρισα
2,295,I cleaned
1,296,μιλάω
2,296,I speak
1,297,θα μιλήσω
2,297,I will speak
1,298,διαβάζω
2,298,I read
1,299,θα διαβάσω
2,299,I will read
